id;code;name;rhythm;language
1;generating;Computers Small Fresh Gloves back-end;int;ENGLISH
2;backing up;Iran;Phi;ARABIC
3;card Licensed Cotton Ball;mindshare Gorgeous;Chi;FRENCH
4;Som Rustic Frozen Keyboard ROI;Benin;Tun;FRENCH
5;system Gorgeous Rubber Pants;hack;lea;ARABIC
6;Developer Shoes Music;Buckinghamshire Hollow Shoes;wit;FRENCH
7;Norfolk Island Chilean Peso Unid;invoice Outdoors New York;mul;SPANISH
8;parsing Investment Account;Branding Dynamic black;yel;SPANISH
9;robust withdrawal generate;Garden open-source hybrid;Sol;SPANISH
10;schemas Specialist China;quantify multi-byte;int;SPANISH
