id;code;name;signature;style
1;mobile Fish;Home Loan Account Table Computer;Trace;MANHOK
2;Tasty Metal Bacon;red Chips Soap;Home Loan ;TAME
3;Namibia;Steel zero administration;Multi-chan;WAFI
4;Canyon HDD;Table Small Frozen Sausages Planner;envisionee;MAJZOE
5;Investment Account;Games Regional Digitized;copy conve;MACHTOR
6;Industrial;connect Markets Chief;capacitor ;WAFI
7;compress South Georgia and the S;compelling mission-critical;bifurcated;MACHTOR
8;deliverables reinvent 24 hour;overriding;monitor 10;MACHTOR
9;Highway Ergonomic;moratorium moratorium;New York t;MACHTOR
10;hard drive Robust Networked;Poland;Small part;TAME
